資產層級,資產類別,資產名稱,威脅,威脅說明,威脅 Reference,威脅源,威脅源說明,威脅源 Reference,弱點,弱點說明,弱點 Reference,對應ISO 42005資產類別,衝擊類別,衝擊說明,衝擊 Reference
個人,無形資產,健康 ,健康資源分配不公 (Unfair Allocation of Health Resources),AI 系統被用於決定誰能優先獲得稀缺的醫療資源（如器官移植、ICU 床位），但其演算法的設計偏向於某些群體，導致了不公平的資源分配。,NIST AI RMF 1.0 (Core: MAP 2.2),系統設計師 / 歷史數據,演算法的目標函數（如最大化存活年限）或訓練數據中內含的社會經濟地位偏差，都可能導致歧視性結果。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-3",缺乏對演算法價值觀的倫理審查,在設計資源分配演算法時，未能進行廣泛的社會倫理討論，以確保其目標函數符合社會的公平正義觀念。,"NIST AI RMF 1.0, GOVERN 4.1",6.5 演算法與模型資訊,公平性,構成制度性的生命權不平等，弱勢群體在最需要幫助的時候，卻被一個自動化系統剝奪了平等的機會。,Clause 6.8.2.3
個人,無形資產,健康 ,AI 助長健康焦慮與錯誤資訊 (AI Fueling Health Anxiety and Misinformation),推薦演算法向用戶大量推送誇大其詞、未經證實的健康資訊或疾病症狀，加劇用戶的健康焦慮；或傳播反科學的醫療偽知識。,NIST AI RMF 1.0 (Core: GOVERN 5.1),內容推薦演算法,演算法的目標是最大化用戶停留時間和點擊率，而聳動、引發焦慮的內容往往最能達成此目標。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-3",內容推薦未能結合資訊的權威性與真實性,演算法在進行推薦時，未能將內容來源的權威性（如來自專業醫療機構）作為一個重要的加權因子。,"NIST AI RMF 1.0, GOVERN 5.1",6.5 演算法與模型資訊,可靠性 / 責任制,對公眾的健康素養造成負面影響，引導用戶採取不當的健康行為，並對公共衛生系統產生不信任。,Clause 6.8.2.3
個人,無形資產,安全,自動駕駛系統感知失敗 (Perception Failure in Autonomous Vehicles),自動駕駛汽車的 AI 感知系統，因惡劣天氣、感測器被遮擋或遇到未曾見過的物體，未能正確識別行人、障礙物或其他車輛，導致交通事故。,NIST AI RMF 1.0 (Core: MANAGE 1.1),模型本身 / 環境因素,AI 模型對訓練場景的過擬合，使其無法應對真實世界中無窮無盡的「邊角案例」(corner cases)。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-4",缺乏對 AI 系統在極端與非預期場景下的充分測試,系統的測試主要在常規場景下進行，未能建立一個系統化的流程來發現和測試模型在各種邊角案例下的反應。,"NIST AI RMF 1.0, MEASURE 2.1",6.2 硬體,可靠性,直接導致車輛碰撞、人員傷亡的嚴重交通事故，是對公眾物理安全最直接的威脅之一。,Clause 6.8.2.3
個人,無形資產,安全,工業 AI 導致工傷事故 (Workplace Accidents Caused by Industrial AI),工廠中的 AI 機器人或自動化系統，因預測或路徑規劃錯誤，或未能正確識別附近的人類同事，而對工人造成擠壓、碰撞等物理傷害。,NIST AI RMF 1.0 (Core: MANAGE 1.1),模型本身 / 硬體感測器,系統的感知能力或決策邏輯存在缺陷，無法在複雜、動態的工廠環境中確保 100% 的人機協作安全。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-3",人機協作的安全冗餘與防護機制不足,系統的設計未能包含足夠的物理或數位安全冗餘（如安全圍籬、急停按鈕、碰撞預測），以在 AI 失效時保護人類。,"NIST AI RMF 1.0, PROTECT 2",6.3 AI 系統資訊,可靠性 / 責任制,對員工的生命安全構成直接威脅，並使企業面臨法律訴訟、鉅額賠償和生產停頓的風險。,Clause 6.8.2.3
個人,無形資產,安全,關鍵基礎設施的 AI 控制失靈 (AI Control Failure in Critical Infrastructure),用於控制電網、水壩、核電站等關鍵基礎設施的 AI 系統，因遭受網路攻擊、軟體錯誤或數據漂移而做出錯誤決策，導致災難性事故。,NIST AI RMF 1.0 (Core: PROTECT 1.2),國家級行為者 / 恐怖分子,旨在透過癱瘓或破壞一個國家的關鍵基礎設施，來製造大規模的社會混亂。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-2",對 AI 控制系統的網路安全防護不足,將傳統的工控系統 (OT) 與 AI 系統相連，但未能對這個新的、更複雜的系統實施同等級別的嚴格網路安全隔離與防護。,"NIST AI RMF 1.0, PROTECT 1.2",6.3 AI 系統資訊,安全性與隱私 / 可靠性,可能導致大面積停電、洪水、核洩漏等嚴重後果，對國家安全和公眾生命財產構成根本性威脅。,Clause 6.8.2.2
個人,無形資產,安全,自主武器的失控與倫理風險 (Loss of Control and Ethical Risks of Autonomous Weapons),AI 驅動的自主武器系統（如無人機蜂群）在目標識別、交戰決策上出現錯誤，或因通信中斷而失控，可能攻擊平民或己方部隊。,"ISO 42005, Clause 6.8.2.2",敵方 / 模型本身,戰場環境的複雜性與對抗性，使得 AI 系統極易出現目標識別錯誤；或系統本身存在後門被敵方利用。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-2",缺乏有意義的人類控制 (Meaningful Human Control),系統的設計將人類從致命武力的決策迴路中完全或過度地排除，將生殺大權交給了機器。,"NIST AI RMF 1.0, GOVERN 5.2",6.5 演算法與模型資訊,責任制 / 安全性與隱私,引發嚴重的戰爭倫理問題，違反國際人道法，並可能因機器決策的不可預測性而導致衝突的快速、災難性升級。,Clause 6.8.2.2
個人,無形資產,安全,安防系統的錯誤警報與漏報 (False Alarms and Misses in Security Systems),用於入侵偵測、暴力事件識別的 AI 安防系統，因將正常行為誤判為威脅而頻繁產生誤報，或未能識別出真正的威脅（漏報）。,NIST AI RMF 1.0 (Core: MANAGE 1.1),模型本身,模型對於「異常」的定義過於寬泛或狹隘，無法準確區分真實威脅與正常但少見的行為。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-3",未能根據實際場景對模型的閾值進行校準,未能根據部署環境的具體情況，對模型的觸發閾值進行優化，以在誤報率和漏報率之間取得可接受的平衡。,"NIST AI RMF 1.0, MEASURE 1.1",6.3 AI 系統資訊,可靠性,誤報會導致「狼來了」效應，讓安保人員對系統失去信任；漏報則會導致真實的安全事件未能被及時阻止。,Clause 6.8.2
個人,無形資產,安全,對抗性攻擊癱瘓安全設施 (Adversarial Attacks Paralyzing Safety Facilities),攻擊者利用特製的對抗性樣本（如一件印有特殊圖案的 T 恤），來讓智慧城市的安防攝影機系統失效，使其無法識別出攻擊者。,MITRE ATLAS: AML.T0030,恐怖分子 / 犯罪分子,旨在使自己在實施犯罪或恐怖襲擊時，對 AI 監控系統「隱形」。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-2",對物理世界的對抗性攻擊防禦不足,系統的防禦主要集中在數位世界的攻擊，而未能考慮到攻擊者可能在物理世界中呈現對抗性樣本。,"NIST AI RMF 1.0, PROTECT 1.3",6.5 演算法與模型資訊,安全性與隱私,使得城市或特定場所的安全監控網絡在關鍵時刻被輕易癱瘓，為惡意行為者創造了巨大的安全漏洞。,Clause 6.8.2.2
個人,無形資產,安全,AI 輔助設計導致結構缺陷 (Structural Flaws from AI-Assisted Design),用於工程設計（如橋樑、飛機零件）的生成式 AI，為了追求材料的最優化，可能設計出一些人類工程師難以直觀理解、且在非預期壓力下存在脆弱性的結構。,NIST AI RMF 1.0 (Core: MEASURE 2.3),模型本身,模型的優化目標函數未能完全涵蓋所有真實世界中可能遇到的複雜物理約束和極端負載情況。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-3",缺乏對 AI 生成設計的充分物理驗證與可解釋性分析,過於信賴 AI 的模擬結果，而未能對其生成的創新結構進行足夠的物理破壞性測試，也未能理解其設計背後的力學原理。,"NIST AI RMF 1.0, MEASURE 2.3",6.5 演算法與模型資訊,可靠性 / 透明度與可解釋性,可能導致災難性的結構失效，造成大規模的人員傷亡和財產損失。,Clause 6.8.2
個人,無形資產,安全,緊急應變 AI 的決策失誤 (Decision Errors by Emergency Response AI),用於指揮調度（如火災、地震）的 AI 決策支持系統，因資訊不完整或模型缺陷，給出了錯誤的資源調度或疏散路線建議。,NIST AI RMF 1.0 (Core: MANAGE 1.1),數據源 / 模型本身,災難現場的資訊往往是混亂、不完整的，AI 模型在這種高度不確定的情況下，其決策的可靠性會急劇下降。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-3",人機協作機制未能賦予人類最終決策權,系統的設計未能確保人類指揮官在接收 AI 建議時，能夠充分理解其依據和不確定性，並保留最終的決策權威。,"NIST AI RMF 1.0, GOVERN 5.2",6.3 AI 系統資訊,可靠性 / 責任制,錯誤的指揮調度可能加劇災情，造成本可避免的人員傷亡，並使應急系統的公信力受損。,Clause 6.8.2.3
個人,無形資產,安全,預測性執法的偏見與升級 (Bias and Escalation from Predictive Policing),AI 系統根據歷史犯罪數據預測高風險區域，引導警方過度巡邏，從而加劇對特定社群的偏見執法，並可能因誤判而激化警民衝突。,NIST AI RMF 1.0 (Core: MAP 2.2),歷史數據,歷史犯罪數據本身就反映了執法系統中存在的歷史偏見，AI 學習並放大了這種偏見。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-3",未能對數據與模型的公平性進行充分審計與緩解,在部署預測性執法系統前，未能對其數據基礎和演算法可能帶來的人權與公平性風險進行影響評估。,"NIST AI RMF 1.0, MAP 2.2",6.6 社會與環境,公平性,破壞了警民之間的信任，加劇了社會分裂，並可能因 AI 的「精準」預測而導致不必要的、甚至致命的警民對抗。,Clause 6.8.2.3
個人,無形資產,安全,AI 生成的錯誤操作指南 (AI-Generated Incorrect Operating Procedures),維修人員或操作員向 AI 助手查詢複雜設備的操作或維修指南時，AI 產生了看似合理但實際上是錯誤的或遺漏關鍵步驟的指令。,NIST AI RMF 1.0 (Core: MANAGE 1.1),模型本身 (幻覺),大型語言模型在知識不足時，傾向於「編造」聽起來流暢、有說服力但事實上是錯誤的資訊（即幻覺）。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-3",缺乏對 AI 生成內容的事實核查與權威來源引用,系統未能讓用戶輕易地追溯其生成內容的原始、權威的技術文檔來源，也未能標示其置信度。,"NIST AI RMF 1.0, GOVERN 4.2",6.5 演算法與模型資訊,可靠性,遵循錯誤的指南操作高危設備（如航空發動機、化學反應爐），可能導致設備損壞、生產事故甚至人員傷亡。,Clause 6.8.2
社群與社會,有形資產,環境,AI 訓練與運行的巨大能耗 (Massive Energy Consumption of AI Training and Operation),訓練大型 AI 模型和維持其線上服務，需要消耗海量的電力，其中大部分來自化石燃料，產生了巨大的碳足跡。,"ISO 42005, Clause 6.8.2.4",組織本身 / AI 架構師,在追求更大、更強的模型時，未能將能源效率作為一個核心的設計與優化目標。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-3",缺乏對 AI 系統生命週期能耗的評估與披露,組織未能追蹤、計算並公開其 AI 活動所造成的真實能源消耗與環境衝擊。,"ISO 42005, Clause 6.8.2.4",6.2 硬體,責任制,加劇了全球氣候變遷，與組織及社會的永續發展目標背道而馳，並可能在未來面臨碳稅等監管成本。,Clause 6.8.2.4
社群與社會,有形資產,環境,AI 加速自然資源開采 (AI Accelerating Natural Resource Extraction),AI 技術被用於更高效地勘探和開采石油、天然氣、礦產等自然資源，雖然提升了經濟效益，但也加速了對有限資源的消耗和對生態環境的破壞。,"ISO 42005, Clause 6.8.2.4",資源開采行業,為了追求利潤最大化，而利用 AI 技術來強化其對環境有負面影響的商業活動。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-3",缺乏對 AI 應用的負面外部性評估,在開發和部署 AI 應用時，未能充分考慮其對整個社會和環境可能造成的間接、長期的負面影響。,"NIST AI RMF 1.0, GOVERN 5.1",6.6 社會與環境,責任制,雖然是合法商業活動，但這種應用從宏觀上加劇了全球資源枯竭和環境惡化，引發倫理爭議。,Clause 6.8.2.4
社群與社會,有形資產,環境,AI 最佳化導致的「反彈效應」 (Rebound Effect from AI Optimization),AI 顯著提升了某個流程的能源效率（如智慧電網），但因此降低的成本反而刺激了更多的消費，導致總體能源消耗不降反升。,"ISO 42005, Clause 6.8.2.4",經濟系統本身,市場經濟的內在邏輯，即效率提升會轉化為消費增長。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-4",未能進行系統性的總體影響評估,僅從微觀層面看到了 AI 帶來的效率提升，而未能從宏觀的社會經濟系統角度，評估其最終的淨環境影響。,"NIST AI RMF 1.0, GOVERN 5.1",6.6 社會與環境,可靠性 / 責任制,使得一個初衷是為了環保的 AI 應用，最終卻對環境產生了負面作用，違背了其設計目標。,Clause 6.8.2.4
社群與社會,有形資產,環境,電子廢棄物 (E-Waste),為了追求更高的運算能力，AI 領域的硬體（特別是 GPU）迭代速度極快，導致大量的、仍可使用的舊硬體被淘汰，產生了嚴重的電子廢棄物問題。,"ISO 42005, Clause 6.8.2.4",硬體製造商 / 組織本身,硬體廠商不斷推出新產品；而組織為了保持競爭力，被迫頻繁升級其硬體設施。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-3",缺乏對硬體資產的循環經濟考量,組織在採購和淘汰硬體時，未能將其可維修性、可升級性和生命週期結束時的回收處理納入決策。,"ISO 42005, Clause 6.8.2.4",6.2 硬體,責任制,電子廢棄物中含有大量有毒物質，對土壤和地下水造成嚴重污染，其處理過程也往往伴隨著對發展中國家工人的剝削。,Clause 6.8.2.4
社群與社會,有形資產,環境,環境監測 AI 的錯誤判斷 (Misjudgment by Environmental Monitoring AI),用於監測森林火災、非法捕撈、野生動物盜獵的 AI 系統，因模型錯誤而未能及時發出警報，或頻繁誤報，導致生態環境遭到破壞或執法資源被浪費。,NIST AI RMF 1.0 (Core: MANAGE 1.1),模型本身 / 環境因素,野外環境的複雜性、數據的稀疏性和多變性，使得 AI 模型難以達到持續的高準確率。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-4",對模型的可靠性與邊界條件評估不足,過於信賴 AI 在常規條件下的表現，而未能充分測試其在各種極端天氣、光照或遮擋條件下的可靠性。,"NIST AI RMF 1.0, MEASURE 2.1",6.6 社會與環境,可靠性,未能及時阻止的環境破壞行為，可能對生態系統造成不可逆的傷害。,Clause 6.8.2.4
社群與社會,有形資產,環境,數據中心對水資源的消耗 (Water Consumption of Data Centers),用於冷卻 AI 運算所需的大型數據中心，需要消耗巨量的淡水資源，在水資源本已緊張的地區，會加劇水資源短缺，影響當地生態與民生。,"ISO 42005, Clause 6.8.2.4",組織本身 / 數據中心營運商,在規劃數據中心選址和設計冷卻方案時，未能充分考慮其對當地水資源的長期影響。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-3",缺乏對 AI 基礎設施水足跡的評估,組織在評估其 AI 環境影響時，只關注了碳足跡，而忽略了同樣重要的水足跡。,"ISO 42005, Clause 6.8.2.4",6.2 硬體,責任制,組織的商業活動與當地社區爭奪寶貴的水資源，可能引發社區矛盾，並對其企業社會責任形象造成嚴重損害。,Clause 6.8.2.4
社群與社會,有形資產,環境,AI 驅動的農業對生物多樣性的影響 (Impact of AI-driven Agriculture on Biodiversity),AI 被用於實現大規模、高效率的單一作物種植（精準農業），雖然提升了產量，但也可能加劇對農藥和化肥的依賴，並減少了農田的生物多樣性。,"ISO 42005, Clause 6.8.2.4",農業科技公司 / 大型農場,旨在最大化特定作物的產量和利潤。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-3",AI 優化目標未能包含生態系統健康指標,農業 AI 系統的優化目標函數中，只包含了產量、成本等經濟指標，而沒有納入如土壤健康、生物多樣性等生態指標。,"NIST AI RMF 1.0, GOVERN 5.1",6.6 社會與環境,可靠性 / 責任制,長期來看，單一化的農業生態系統更加脆弱，更容易受到病蟲害和氣候變遷的影響，並對整體生態平衡造成負面衝擊。,Clause 6.8.2.4
社群與社會,有形資產,環境,用於規避環境法規的 AI (AI Used to Circumvent Environmental Regulations),企業利用 AI 來分析法規漏洞，或優化其污染排放行為，使其在數據上「恰好」符合法規的最低標準，但實際上卻對環境造成了最大的、合法的傷害。,NIST AI RMF 1.0 (Core: GOVERN 5.1),受監管的企業,旨在以最低的合規成本，實現污染排放的最大化。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-2",對 AI 技術的雙重用途風險評估不足,未能預見到一個用於優化的 AI 技術，也可能被惡意地用於「鑽法律漏洞」。,"NIST AI RMF 1.0, GOVERN 5.1",6.6 社會與環境,責任制,使得環境保護法規的立法原意被架空，構成了對法律和社會公德的嚴重挑釁。,Clause 6.3.4
社群與社會,有形資產,環境,AI 對環境議題的錯誤資訊傳播 (Spread of Misinformation on Environmental Issues),AI 被用於大規模製造和傳播關於氣候變遷等關鍵環境議題的虛假資訊或陰謀論，旨在混淆公眾視聽，阻礙環保政策的制定與實施。,MITRE ATLAS: AML.T0043,利益集團 / 意識形態活動家,化石燃料行業的利益集團或氣候變遷否認者，利用 AI 工具來放大其聲音，製造爭議。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-2",社交媒體平台的推薦演算法存在漏洞,平台的推薦演算法未能有效識別和抑制虛假的、反科學的內容，甚至可能因其高爭議性而助長其傳播。,"NIST AI RMF 1.0, GOVERN 5.1",6.6 社會與環境,責任制,破壞了社會在應對重大環境挑戰時所需的共識基礎，延誤了寶貴的行動時機，對地球的未來構成威脅。,Clause 6.8.2.4
社群與社會,有形資產,環境,智慧城市建設中的資源錯配 (Resource Mismatch in Smart City Construction),用於城市規劃的 AI 系統，因數據偏差或模型錯誤，對未來的交通流量、人口分布或資源需求做出了錯誤的預測，導致基礎設施的過度建設或不足。,NIST AI RMF 1.0 (Core: MANAGE 1.1),模型本身 / 數據源,歷史數據無法完全代表未來的城市發展模式，模型也難以捕捉所有複雜的社會經濟因素。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-3",對 AI 預測的長期不確定性溝通不足,未能向城市規劃者充分溝通模型預測的誤差範圍和潛在風險，導致決策者過於信賴其輸出。,"NIST AI RMF 1.0, GOVERN 4.2",6.6 社會與環境,可靠性,過度建設造成了巨大的資源浪費和不必要的環境破壞；建設不足則導致城市功能失靈，影響居民生活品質。,Clause 6.8.2.4
社會,無形資產,社群與社會,加劇社會不平等 (Exacerbation of Social Inequality),AI 系統（如招聘、信貸審批）因學習了帶有偏見的歷史數據，系統性地將機會和資源分配給優勢群體，進一步邊緣化弱勢社群。,NIST AI RMF 1.0 (Core: MAP 2.2),歷史數據 / 社會本身,歷史數據中反映出的真實世界偏見，被模型無差別地學習並應用於未來的決策中。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-3",缺乏對 AI 系統性衝擊的評估與緩解,在部署 AI 前，未能從宏觀角度評估其對不同社群可能造成的長期、系統性影響，並設計緩解措施。,"NIST AI RMF 1.0, GOVERN 5.1",6.6 社會與環境,公平性,固化並放大了現有的社會階層與貧富差距，破壞了社會的公平正義與向上流動的機會。,Clause 6.8.2.3
社會,無形資產,社群與社會,侵蝕民主程序 (Erosion of Democratic Processes),利用 AI 大規模製造和精準投放政治假訊息、宣傳或深度偽造內容，以操縱公眾輿論、影響選舉結果或打擊民主制度的公信力。,MITRE ATLAS: AML.T0043,國家級行為者 / 政治活動家,旨在透過資訊戰來干預他國選舉，或在國內壓制異議、鞏固權力。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-2",社交媒體平台的演算法未能有效抑制有害內容,平台的推薦演算法為了追求用戶粘性，可能無意中助長了聳動、虛假或極端化內容的傳播。,"NIST AI RMF 1.0, GOVERN 5.1",6.6 社會與環境,責任制,破壞了理性、知情的公共討論基礎，加劇了政治極化，對民主社會的穩定構成根本性威脅。,Clause 6.3.4
社會,無形資產,社群與社會,大規模失業與技能貶值 (Mass Unemployment and Skill Devaluation),AI 自動化技術大規模取代了特定類型的工作崗位（如客服、司機、數據分析員），而社會未能及時提供足夠的轉職培訓和新的就業機會。,"ISO 42005, Clause 6.8.2.3",技術變革本身,技術的快速發展，其替代人力的速度超過了社會創造新崗位和勞動力技能轉型的速度。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-4",缺乏對 AI 技術社會經濟衝擊的前瞻性規劃,政府與企業未能合作建立一個長期的、全國性的戰略，來應對 AI 可能帶來的結構性失業問題。,"ISO 42005, Clause 6.8.2.3",6.6 社會與環境,公平性 / 責任制,可能引發大規模的社會不安定，加劇貧富差距，並使得大量勞動者的技能在一夜之間變得無用。,Clause 6.8.2.3
社會,無形資產,社群與社會,社會信任的侵蝕 (Erosion of Social Trust),深度偽造技術的泛濫，以及 AI 生成內容的真假難辨，使得公眾對影像、聲音甚至文字等基本資訊媒介的信任度全面下降。,MITRE ATLAS: AML.T0043,惡意個人 / 組織犯罪,任何人都可以輕易地製造出以假亂真的偽證，用於詐騙、誹謗或製造混亂。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-2",缺乏有效的偽造內容檢測與溯源技術,現有的技術手段，其識別偽造內容的能力，遠遠落後於生成偽造內容的能力。,"NIST AI RMF 1.0, PROTECT 1.3",6.6 社會與環境,可靠性 / 安全性與隱私,當「眼見不再為憑」，社會將陷入普遍的猜疑，司法、新聞、商業等建立在信任基礎上的社會功能都將受到嚴重衝擊。,Clause 6.8.2.2
社會,無形資產,社群與社會,過濾氣泡與社會極化 (Filter Bubbles and Social Polarization),新聞與社交媒體的 AI 推薦演算法，持續向用戶推送其偏好的內容，使其陷入個人化的「過濾氣泡」中，聽不到不同聲音，從而加劇社會群體間的隔閡與對立。,NIST AI RMF 1.0 (Core: GOVERN 5.1),內容推薦演算法,演算法的目標是最大化用戶的參與度和滿意度，而推薦相似觀點的內容是達成此目標最簡單的方式。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-3",演算法的設計未能包含促進觀點多樣性的目標,平台在設計推薦演算法時，未能將「促進用戶接觸多元觀點」、「維護健康的公共領域」等社會責任納入其核心優化目標。,"NIST AI RMF 1.0, GOVERN 5.1",6.6 社會與環境,公平性,削弱了社會成員之間的同理心與共識基礎，使得理性的公共對話變得困難，社會更容易陷入分裂與衝突。,Clause 6.8.2.3
社會,無形資產,社群與社會,權力集中於少數科技巨頭 (Concentration of Power in a Few Tech Giants),由於 AI 的發展極度依賴海量數據、龐大算力和頂尖人才，導致相關的權力與利益越來越集中於少數幾家大型科技公司手中。,"ISO 42005, Clause 6.3.4",市場競爭本身,AI 領域的「贏者通吃」效應，使得小型企業和新創公司難以與已建立數據和技術壁壘的巨頭競爭。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-4",缺乏有效的反壟斷與數據治理法規,現有的市場監管法規，未能有效應對由數據和演算法所形成的新型壟斷形式。,"NIST AI RMF 1.0, GOVERN 5",6.6 社會與環境,公平性 / 責任制,可能導致創新停滯、市場失去活力，並使得這些科技巨頭對社會的影響力大到「不能倒」，甚至超越了政府的監管能力。,Clause 6.3.4
社會,無形資產,社群與社會,數位落差的加劇 (Widening of the Digital Divide),AI 技術的紅利（如個人化教育、精準醫療）主要由已具備數位技能和資源的群體享有，而數位弱勢群體則可能因無法使用或不被 AI 系統考慮，而被進一步拋下。,NIST AI RMF 1.0 (Core: GOVERN 5.1),社會經濟結構,AI 系統的設計和部署，往往優先考慮商業價值和主流用戶群體，而忽略了邊緣或弱勢社群的需求。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-3",未能將「包容性設計」作為 AI 開發的核心原則,在 AI 產品的設計階段，未能充分考慮到不同教育水平、經濟狀況、身心障礙狀況的用戶的需求。,"NIST AI RMF 1.0, GOVERN 5.1",6.6 社會與環境,公平性,社會分裂為「AI 受益者」和「AI 受害者」兩個階層，數位落差從單純的資源不均，演變為全方位的機會不均。,Clause 6.8.2.3
社會,無形資產,社群與社會,人類技能的退化與自主性的喪失 (De-skilling and Loss of Human Autonomy),人類過度依賴 AI 來進行決策、導航、寫作甚至創造，可能導致相關的人類心智技能退化，並在不知不覺中將自身的自主決策權讓渡給機器。,"ISO 42005, Clause 6.8.2.3",技術便利性本身,人類心智傾向於選擇更省力、更便捷的路徑，而 AI 恰好提供了這樣的選項。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-4",AI 系統的設計未能鼓勵人機協作與能力增強,系統的設計目標是完全「取代」人類，而不是作為一個「增強」人類能力的工具，與人類形成夥伴關係。,"NIST AI RMF 1.0, GOVERN 5.2",6.6 社會與環境,可靠性 / 責任制,當 AI 系統失效或給出錯誤建議時，已喪失相關技能的人類將無力進行判斷、糾正或接管，導致災難性後果。,Clause 6.8.2.3
社會,無形資產,社群與社會,文化同質化 (Cultural Homogenization),全球性的 AI 平台（如影音推薦、內容生成）根據主流品味和商業利益來推薦和生成內容，可能導致地方性、小眾的文化和語言被邊緣化，造成全球文化的多樣性下降。,NIST AI RMF 1.0 (Core: GOVERN 5.1),內容推薦演算法,演算法為了追求最大化的全球用戶參與度，傾向於推廣具有普適性的、主流的文化產品。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-3",演算法未能納入文化多樣性保護的目標,平台未能意識到其演算法對全球文化生態的巨大影響力，並在設計中引入保護和推廣文化多樣性的機制。,"NIST AI RMF 1.0, GOVERN 5.1",6.6 社會與環境,公平性,削弱了少數族裔和地方社群的文化認同感，對人類寶貴的文化遺產構成威脅。,Clause 6.8.2.3
社會,無形資產,社群與社會,與 AI 的情感依賴及社會疏離 (Emotional Dependency on AI and Social Alienation),個人（特別是兒童或孤獨者）可能與高度擬人化的 AI 伴侶（如聊天機器人、虛擬形象）建立深度的情感依賴，從而減少了與真實人類的互動，加劇社會疏離。,"ISO 42005, Clause 6.8.2.3",系統設計師,為了提升用戶粘性，而刻意將 AI 設計得極具吸引力、順從性，以滿足用戶的情感需求。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-3",對 AI 擬人化設計的長期心理影響評估不足,在開發擬人化 AI 時，未能充分研究和評估其對用戶，特別是心智未成熟用戶的長期心理發展和社會交往能力的影響。,"NIST AI RMF 1.0, GOVERN 5.1",6.6 社會與環境,責任制,可能對個人的心理健康和社會適應能力造成傷害，並引發關於「何為真實人際關係」的深刻倫理問題。,Clause 6.8.2.3
組織,有形資產,人員,惡意內部人員攻擊 (Malicious Insider Attack),掌握核心權限的員工或前員工，出於報復、貪婪或其他動機，蓄意竊取模型/數據、破壞系統、或在模型中植入後門。,MITRE ATLAS: AML.T0015,敵對的內部人員 (Adversarial Insider),對公司心懷不滿或被外部利誘的員工、管理員或開發者。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-2",缺乏最小權限原則與行為異常檢測,未能對員工的系統存取權限進行嚴格的最小化配置，也未能部署工具來監測和識別內部人員的異常數據存取或系統操作行為。,"NIST AI RMF 1.0, GOVERN 2.1",6.1 人員,安全性與隱私,來自內部的攻擊往往能繞過外圍防禦，直接接觸到最核心的資產，其破壞性可能遠超外部攻擊。,Clause 6.8.2.1
組織,有形資產,人員,無意的人為失誤 (Unintentional Human Error),員工因疏忽、疲勞或操作不當，意外地刪除數據、錯誤配置系統、洩漏憑證或在程式碼中引入了漏洞。,NIST SP 800-30 Rev. 1,疏忽的內部人員 (Negligent Insider),任何員工都可能因為無心之失而對系統造成傷害。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-3",缺乏充分的防呆設計與安全意識培訓,系統的設計未能預防常見的人為失誤（如刪除前無二次確認）；組織也未能對員工進行足夠的、持續的資訊安全意識培訓。,"NIST AI RMF 1.0, GOVERN 2",6.1 人員,可靠性 / 安全性與隱私,大量的安全事件和系統故障，其根源都是無意的人為失誤，而非惡意攻擊。,Clause 6.8.2
